997,207,8,5,0,1,7,0,0,0,0,2,1,0,1,0,16,9,3,4,2
149,4446,25,1,0,217,8,0,0,0,0,2,1,0,0,2,8,66,0,0,2
19,14,263,5,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,5
11,1,4,280,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0
0,0,3,0,82,0,0,0,6,0,0,0,49,0,0,2,0,0,0,0,27
12,412,3,3,0,1861,0,0,0,0,0,0,0,0,0,0,2,58,0,0,0
16,19,0,0,0,11,304,1,0,0,0,0,0,1,0,0,1,51,0,10,0
1,1,0,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,423,3,10,0,49,4,0,291,0,0,0,0,7
0,0,0,0,0,0,0,0,11,123,24,0,7,0,0,19,0,0,0,0,0
0,0,0,0,0,0,0,0,11,4,1079,0,0,0,0,13,0,0,0,0,0
0,9,4,0,0,8,0,0,0,0,0,56,2,0,0,0,0,0,0,0,3
0,0,6,1,10,0,0,0,31,5,0,1,871,0,0,16,0,0,0,0,109
0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,43,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,39,0,0,0,4,2,0
0,0,0,0,0,0,0,0,75,3,2,0,12,3,0,2458,0,0,0,0,2
17,16,1,3,0,0,0,0,0,0,0,1,0,0,0,12,164,6,0,0,3
37,218,1,1,0,168,22,0,0,0,0,1,0,0,0,0,5,1236,0,2,0
4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,390,0,0
1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,4,0,133,0
1,0,4,0,7,0,0,0,6,0,0,0,210,0,0,17,1,0,0,0,434
